,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
195,1,1,reg,0,7,32,38,32S,38S,tap,
300,2,2,reg,0,10,122,128,2M 2S,2M 8S,tap,
3101,3,3,reg,0,3,12,22,12S,22S,tap,
2104,4,4,reg,0,32,154,160,2M 34S,2M 40S,tap,
1315,5,5,reg,0,13,112,118,1M 52S,1M 58S,tap,
2152,6,6,reg,0,5,72,78,1M 12S,1M 18S,tap,kettle
3715,7,7,reg,0,37,236,240,3M 56S,4M 0S,tap,kettle
2019,8,8,reg,0,7,80,90,1M 20S,1M 30S,tap,
2120,9,9,reg,0,2,16,28,16S,28S,tap,
9113,10,10,reg,0,91,788,790,13M 8S,13M 10S,tap,
2723,11,11,reg,0,21,184,212,3M 4S,3M 32S,tap,
4301,12,12,reg,0,18,152,172,2M 32S,2M 52S,tap,
4262,13,13,reg,0,14,70,76,1M 10S,1M 16S,tap,kettle
3029,14,14,reg,0,30,242,248,4M 2S,4M 8S,tap,
1760,15,15,reg,0,17,114,118,1M 54S,1M 58S,tap,
15912,16,16,reg,0,37,254,270,4M 14S,4M 30S,tap,
3429,17,17,reg,0,34,384,392,6M 24S,6M 32S,tap,
1790,18,18,reg,0,17,116,120,1M 56S,2M 0S,tap,
9101,19,19,reg,0,9,56,58,56S,58S,tap,
50115,20,20,reg,0,7,68,70,1M 8S,1M 10S,tap,kettle
14103,21,1,new,0,14,90,98,1M 30S,1M 38S,tap,
41018,22,2,new,0,9,42,104,42S,1M 44S,tap,
31022,23,3,new,0,3,14,22,14S,22S,tap,
11041,24,4,new,0,38,354,362,5M 54S,6M 2S,tap,
68131,25,5,new,0,47,1616,1648,26M 56S,27M 28S,tap,
31331,26,6,new,0,28,750,766,12M 30S,12M 46S,tap,
17201,27,7,new,0,17,172,212,2M 52S,3M 32S,tap,
18061,28,8,new,0,12,120,126,2M 0S,2M 6S,tap,
48310,29,9,new,0,4,126,154,2M 6S,2M 34S,tap,
79181,30,10,new,0,79,1010,1028,16M 50S,17M 8S,tap,
56711,31,11,new,0,44,646,650,10M 46S,10M 50S,tap,
11601,32,12,new,0,2,16,26,16S,26S,tap,
14501,33,13,new,0,14,80,88,1M 20S,1M 28S,tap,
49271,34,14,new,0,49,310,322,5M 10S,5M 22S,tap,
16801,35,15,new,0,16,132,134,2M 12S,2M 14S,tap,
3450,36,16,new,0,34,1716,1724,28M 36S,28M 44S,tap,
52113,37,17,new,0,5,62,80,1M 2S,1M 20S,tap,
5148,38,18,new,0,51,332,338,5M 32S,5M 38S,tap,
3480,39,19,new,0,34,306,356,5M 6S,5M 56S,tap,
16018,40,20,new,0,4,3548,3564,59M 8S,59M 24S,tap,
